t,base_mse,session_no_update_mse,adaptive_mse,did_update,update_ok
0,0.009757068008184433,0.009757068008184433,0.009757068008184433,0,0
1,0.3129963278770447,0.3129963278770447,0.3129963278770447,0,0
2,0.37242355942726135,0.37242355942726135,0.37242355942726135,0,0
3,0.29675522446632385,0.29675522446632385,0.29675522446632385,0,0
4,0.6901689767837524,0.6901689767837524,0.6901689767837524,0,0
5,0.8325711488723755,0.8325711488723755,0.8325711488723755,0,0
6,1.138972282409668,1.138972282409668,1.138972282409668,0,0
7,2.7741141319274902,2.7741141319274902,2.7741141319274902,0,0
8,4.924966335296631,4.924966335296631,4.924966335296631,0,0
9,7.234189987182617,7.234189987182617,7.234189987182617,0,0
10,12.58676528930664,12.58676528930664,12.58676528930664,0,0
11,14.792739868164062,14.792739868164062,14.792739868164062,0,0
12,16.576322555541992,16.576322555541992,16.576322555541992,0,0
13,19.731111526489258,19.731111526489258,19.731111526489258,0,0
14,20.23720932006836,20.23720932006836,20.23720932006836,0,0
15,21.201520919799805,21.201520919799805,21.201520919799805,0,0
16,25.324934005737305,25.324934005737305,25.324934005737305,0,0
17,30.308063507080078,30.308063507080078,30.308063507080078,0,0
18,30.86631965637207,30.86631965637207,30.86631965637207,0,0
19,35.968318939208984,35.968318939208984,35.968318939208984,0,0
20,39.72170639038086,39.72170639038086,39.72170639038086,0,0
21,44.448768615722656,44.448768615722656,44.448768615722656,0,0
22,51.97003173828125,51.97003173828125,51.97003173828125,0,0
23,60.77244567871094,60.77244567871094,60.77244567871094,0,0
24,70.9428482055664,70.9428482055664,70.9428482055664,0,0
25,75.9334487915039,75.9334487915039,75.9334487915039,0,0
26,89.818359375,89.818359375,89.818359375,0,0
27,93.83354187011719,93.83354187011719,93.83354187011719,0,0
28,99.25289154052734,99.25289154052734,99.25289154052734,0,0
29,104.50503540039062,104.50503540039062,104.50503540039062,0,0
30,108.26776885986328,108.26776885986328,108.26776885986328,0,0
31,107.93451690673828,107.93451690673828,107.93451690673828,1,1
32,99.52745056152344,99.52745056152344,99.38775634765625,0,0
33,84.69496154785156,84.69496154785156,84.5336685180664,0,0
34,69.21446228027344,69.21446228027344,69.06580352783203,0,0
35,61.45439529418945,61.45439529418945,61.322357177734375,0,0
36,52.88017654418945,52.88017654418945,52.77152633666992,0,0
37,46.93869400024414,46.93869400024414,46.854026794433594,0,0
38,44.29170608520508,44.29170608520508,44.22491455078125,0,0
39,43.8116569519043,43.8116569519043,43.756717681884766,0,0
40,43.647865295410156,43.647865295410156,43.60221481323242,0,0
41,55.15989685058594,55.15989685058594,55.116790771484375,0,0
42,61.625038146972656,61.625038146972656,61.58397674560547,0,0
43,67.44435119628906,67.44435119628906,67.40506744384766,0,0
44,79.23555755615234,79.23555755615234,79.19507598876953,0,0
45,99.59986114501953,99.59986114501953,99.55692291259766,0,0
46,121.1882095336914,121.1882095336914,121.1370849609375,0,0
47,149.77101135253906,149.77101135253906,149.70970153808594,0,0
48,178.76963806152344,178.76963806152344,178.69692993164062,0,0
49,203.2027587890625,203.2027587890625,203.11978149414062,0,0
50,219.6434326171875,219.6434326171875,219.55101013183594,0,0
51,247.1637725830078,247.1637725830078,247.05833435058594,0,0
52,286.6175842285156,286.6175842285156,286.49517822265625,0,0
53,324.5677490234375,324.5677490234375,324.42022705078125,0,0
54,342.7080993652344,342.7080993652344,342.54107666015625,0,0
55,355.4672546386719,355.4672546386719,355.2848815917969,0,0
56,364.3031921386719,364.3031921386719,364.1109619140625,0,0
57,359.43817138671875,359.43817138671875,359.23516845703125,0,0
58,356.529541015625,356.529541015625,356.3218688964844,0,0
59,356.6122741699219,356.6122741699219,356.3944396972656,0,0
60,349.06182861328125,349.06182861328125,348.8379211425781,0,0
61,350.93841552734375,350.93841552734375,350.70111083984375,0,0
62,343.7221374511719,343.7221374511719,343.476318359375,0,0
63,351.1925354003906,351.1925354003906,350.94134521484375,1,0
64,345.91900634765625,345.91900634765625,345.6671447753906,0,0
65,357.646728515625,357.646728515625,357.384521484375,0,0
66,370.11761474609375,370.11761474609375,369.849609375,0,0
67,386.7575988769531,386.7575988769531,386.4726867675781,0,0
68,407.13037109375,407.13037109375,406.8290710449219,0,0
69,440.04705810546875,440.04705810546875,439.7353515625,0,0
70,462.9215393066406,462.9215393066406,462.6009826660156,0,0
71,489.2752990722656,489.2752990722656,488.95159912109375,0,0
72,526.7418823242188,526.7418823242188,526.4004516601562,0,0
73,570.4765014648438,570.4765014648438,570.1163940429688,0,0
74,620.28466796875,620.28466796875,619.9003295898438,0,0
75,677.8435668945312,677.8435668945312,677.434326171875,0,0
76,721.3063354492188,721.3063354492188,720.8766479492188,0,0
77,779.6109619140625,779.6109619140625,779.159423828125,0,0
78,832.3395385742188,832.3395385742188,831.8611450195312,0,0
79,898.0863647460938,898.0863647460938,897.5794677734375,0,0
80,942.2046508789062,942.2046508789062,941.6734008789062,0,0
81,997.1714477539062,997.1714477539062,996.61181640625,0,0
82,1040.9990234375,1040.9990234375,1040.42333984375,0,0
83,1039.569091796875,1039.569091796875,1038.9913330078125,0,0
84,1018.7024536132812,1018.7024536132812,1018.1353759765625,0,0
85,1013.9633178710938,1013.9633178710938,1013.3943481445312,0,0
86,1040.0494384765625,1040.0494384765625,1039.4541015625,0,0
87,1073.175537109375,1073.175537109375,1072.5361328125,0,0
88,1097.54345703125,1097.54345703125,1096.8607177734375,0,0
89,1113.37255859375,1113.37255859375,1112.6519775390625,0,0
90,1109.5438232421875,1109.5438232421875,1108.786376953125,0,0
91,1110.10693359375,1110.10693359375,1109.322265625,0,0
92,1092.9952392578125,1092.9952392578125,1092.194580078125,0,0
93,1070.6839599609375,1070.6839599609375,1069.8826904296875,0,0
94,1048.3709716796875,1048.3709716796875,1047.574951171875,0,0
95,1008.628173828125,1008.628173828125,1007.8612670898438,1,0
